latitude,longitude,Distance_y,Rating_y,Review Count,Categories_y,Price_y
40.77113,-73.981796,241,2,4858,Scenic Lookout,3
40.764393,-73.97345,899,5,6711,"Bakery, Coffee Shop, Restaurant",3
40.76599,-73.972245,933,1,6590,Park,3
40.762816,-73.983874,670,5,117,Park,4
40.761539,-73.977227,1397,2,717,"American Restaurant, Steakhouse",4
40.763466,-73.973807,469,4,1308,Art Museum,4
40.763766,-73.984698,437,2,5877,American Restaurant,2
40.763367,-73.973454,569,1,3136,"Bakery, Coffee Shop, Restaurant",2
40.771506,-73.981855,195,1,6839,Department Store,5
40.762709,-73.973865,501,1,3165,New American Restaurant,3
40.771202,-73.98311,206,2,1635,Jewelry Store,3
40.7668,-73.986258,308,4,2415,Mexican Restaurant,3
40.762913,-73.984315,717,5,5607,"Fondue Restaurant, Mediterranean Restaurant, Tapas Restaurant",1
40.764586,-73.972278,1466,2,5200,"Cocktail Bar, Piano Bar, Gastropub",1
40.761179,-73.980577,477,4,2395,Electronics Store,2
40.761632,-73.981774,101,1,1512,Restaurant,1
40.767224,-73.986537,347,1,3221,"French Restaurant, Seafood Restaurant",2
40.767688,-73.971306,365,2,4446,Gay Bar,4
40.77219344,-73.97761524,1353,5,1214,Zoo,1
40.760834,-73.977331,87,1,6621,American Restaurant,3
40.77025,-73.972367,776,1,2651,"Lounge, Tea Room, French Restaurant",5
40.760639,-73.97859,435,3,1909,Landmarks and Outdoors,2
40.771905,-73.975053,753,5,357,Burrito Restaurant,3
40.764334,-73.971612,278,2,681,Picnic Area,1
40.761858,-73.9834,573,2,2531,"Greek Restaurant, Mediterranean Restaurant",4
40.803114,-73.956637,76,1,2935,"Diner, New American Restaurant",2
40.800483,-73.958109,174,5,4330,"New American Restaurant, South American Restaurant, Southern Food Restaurant",3
40.801304,-73.959715,1450,2,6505,Landmarks and Outdoors,5
40.799317,-73.959332,289,1,30,Farmers Market,5
40.804513,-73.954811,797,3,1927,"Tea Room, Deli, Mediterranean Restaurant",4
40.8041,-73.954095,930,1,6338,"Beer Store, Liquor Store, Wine Store",2
40.804379,-73.955767,1502,2,4545,"Bagel Shop, American Restaurant, Deli",2
40.805043,-73.955181,497,5,1458,"Coffee Shop, Middle Eastern Restaurant",3
40.797912,-73.955343,509,1,1138,"Bakery, Restaurant",1
40.803868,-73.954698,326,4,6364,Park,3
40.804038,-73.962444,139,5,4250,Park,1
40.80615,-73.958197,710,1,1325,Fountain,2
40.797116,-73.958854,910,2,6628,Playground,2
40.804611,-73.951141,740,3,5903,Landmarks and Outdoors,1
40.806638,-73.954062,340,1,2157,"Coffee Shop, Restaurant",2
40.803519,-73.963692,805,2,6117,"American Restaurant, Italian Restaurant, Spanish Restaurant",5
40.802477,-73.950185,274,2,2103,"Bakery, Eastern European Restaurant, Hungarian Restaurant",4
40.798842,-73.962943,1584,1,6540,"American Restaurant, South American Restaurant, Southern Food Restaurant",5
40.806175,-73.953213,1081,2,6975,Dive Bar,4
40.806561,-73.960968,1041,4,2570,"Cocktail Bar, Mexican Restaurant",1
40.801389,-73.964616,1488,4,1984,"Beer Bar, Pub, Wine Bar",5
40.795573,-73.955996,81,2,5708,"Bakery, Coffee Shop",2
40.800819,-73.96573,1228,5,3428,Scenic Lookout,5
40.800399,-73.965277,654,1,2785,"Cafe, Coffee, and Tea House, Sandwich Spot, Vietnamese Restaurant",4
40.804941,-73.965016,687,4,3397,"BBQ Joint, Hawaiian Restaurant",4
40.805502,-73.96425,1423,4,4383,Bookstore,4
40.803995,-73.947925,641,4,6287,Greek Restaurant,4
40.807991,-73.962029,338,4,2500,"Coffee Shop, Ice Cream Parlor, Restaurant",1
40.80245,-73.967324,1119,3,1486,Public Art,5
40.806718,-73.965216,1409,2,4505,"Bagel Shop, Restaurant, Bakery",3
40.805395,-73.966214,1359,4,4204,Bookstore,4
40.804548,-73.947422,1520,2,5353,"Beer Bar, Coffee Shop, Restaurant",5
40.805694,-73.965132,463,5,104,"Wine Bar, French Restaurant, New American Restaurant",2
40.800822,-73.967611,112,5,2117,"Deli, Sandwich Spot",1
40.803823,-73.966459,1547,4,6659,"Pizzeria, Italian Restaurant",3
40.805571,-73.947505,981,5,1520,Grocery Store,5
40.809505,-73.953866,624,5,2194,"Italian Restaurant, Pizzeria",2
40.801129,-73.968235,856,3,646,"Bar, New American Restaurant",5
40.804426,-73.966089,234,5,1973,"Music Venue, Dining and Drinking, Jazz and Blues Venue",5
40.802917,-73.967998,357,5,1144,"Burger Joint, Fast Food Restaurant, New American Restaurant",3
40.804316,-73.966172,148,3,1991,"Bar, Pizzeria, Italian Restaurant",3
40.808859,-73.951786,1216,4,451,Grocery Store,4
40.793761,-73.953085,165,5,6039,"Night Club, Cocktail Bar, Restaurant",5
40.79466934949267,-73.95923272,560,3,1751,Landmarks and Outdoors,2
40.796296,-73.949116,1423,1,1560,"Bridge, Scenic Lookout, Sporting Goods Retail",4
40.80427,-73.947717,1381,3,1684,African Restaurant,2
40.793833,-73.952432,1324,3,6508,"Bakery, Cupcake Shop, Restaurant",4
40.800496,-73.967685,477,5,4163,Park,4
40.809991,-73.955896,853,2,4156,"Bakery, Restaurant",4
40.800667,-73.947186,1050,3,3544,Playground,3
40.793553,-73.940661,130,2,1315,Mobile Phone Store,4
40.792688,-73.940715,770,3,5079,Steakhouse,4
40.797221,-73.938746,1143,2,3859,"Latin American Restaurant, Mexican Restaurant",2
40.798925,-73.941653,1362,2,3077,"Fast Food Restaurant, Latin American Restaurant, Taco Restaurant",4
40.798996,-73.941,1577,2,4441,Mexican Restaurant,3
40.792993,-73.945448,1319,2,5488,"Bakery, Coffee Shop",1
40.792098,-73.938507,1317,2,1993,"Beer Bar, American Restaurant",4
40.795622,-73.935931,879,1,1241,Deli,2
40.792279,-73.945902,120,5,2230,"BBQ Joint, Hawaiian Restaurant, Japanese Restaurant",5
40.79116,-73.939302,1126,3,4257,"Cocktail Bar, Tapas Restaurant",5
40.797107,-73.934895,1412,4,2624,"Latin American Restaurant, Burrito Restaurant, Tex-Mex Restaurant",4
40.793765,-73.936735,604,1,978,Pizzeria,3
40.796134,-73.934945,853,5,5772,"Picnic Area, Playground",1
40.793993,-73.934251,20,3,2733,"Beer Bar, American Restaurant",3
40.794599,-73.933794,1543,5,6346,Italian Restaurant,5
40.796296,-73.949116,1186,3,350,"Café, Coffee Shop, Sandwich Spot",2
40.797768,-73.934395,487,3,2208,African Restaurant,1
40.789495,-73.943041,448,2,622,"Bakery, Dessert Shop, American Restaurant",4
40.790957,-73.9469,356,4,2594,Thai Restaurant,2
40.801072,-73.938063,518,2,5228,"Beer Bar, New American Restaurant",5
40.794679,-73.949054,303,4,5393,Grocery Store,1
40.799886,-73.935963,1370,1,3730,"Burger Joint, American Restaurant",3
40.796296,-73.949116,1346,5,122,Caribbean Restaurant,4
40.797669,-73.948251,538,5,2431,Art Museum,1
40.799243,-73.935763,968,5,4194,"Bar, Gastropub, New American Restaurant",3
40.798537,-73.9339,569,5,5505,"Burger Joint, American Restaurant, Fast Food Restaurant",4
40.79294,-73.93325,1253,2,6649,"Beer Garden, Comfort Food Restaurant, Latin American Restaurant",3
40.795111,-73.932808,644,4,752,Hiking Trail,3
40.792805,-73.950469,356,4,2796,"Beer Store, Liquor Store, Wine Store",3
40.793425,-73.951542,1532,4,4916,Indian Restaurant,1
40.793833,-73.952432,712,1,4231,Landmarks and Outdoors,5
40.789841,-73.948256,1152,5,4243,Park,3
40.793611,-73.950631,495,2,4769,"Café, Coffee Shop, Restaurant",2
40.798209,-73.934062,1426,1,4491,"Fountain, Plaza, Sporting Goods Retail",5
40.789235,-73.948714,1166,1,2934,"Mexican Restaurant, Salad Restaurant",4
40.792534,-73.95207,104,4,4481,"Italian Restaurant, Pizzeria",1
40.793761,-73.953085,199,2,5556,History Museum,1
40.793158,-73.9514,1206,4,1514,Landmarks and Outdoors,3
40.789238,-73.948695,528,2,834,Art Museum,5
40.801423,-73.949182,755,3,4367,Thai Restaurant,3
40.793229,-73.952802,928,4,533,Fish Market,2
40.798149,-73.95251,1133,3,2552,Fountain,1
40.788425,-73.948726,452,3,5086,Plaza,4
40.796882,-73.949445,1533,5,6429,"Dessert Shop, Restaurant",3
40.79817,-73.933493,787,3,4564,Plaza,5
40.795323,-73.930936,320,1,2663,Grocery Store,5
40.801465,-73.949665,1417,4,2013,"Drugstore, Grocery Store",1
40.787461,-73.944406,178,1,3333,Tour Provider,3
40.788072,-73.941719,679,3,1180,Grocery Store,2
40.801525,-73.935238,697,1,5027,Fast Food Restaurant,3
40.750154,-73.995267,903,1,2797,"Music Venue, Theater",4
40.750561,-73.993231,1159,2,5058,Pizzeria,4
40.750526,-73.993395,204,3,4042,"Music Venue, Stadium",1
40.748639,-73.99533,1521,1,4275,Arts and Entertainment,5
40.752929,-73.996285,921,5,6837,"Beer Bar, Gastropub, New American Restaurant",5
40.752262,-73.991061,1224,3,2697,Camera Store,5
40.752209,-73.998965,1228,5,4997,"Bagel Shop, Fast Food Restaurant, Coffee Shop",2
40.753095,-73.998127,1330,1,3443,"Café, Coffee Shop, Restaurant",3
40.752873,-73.99838,1556,4,3600,Coffee Shop,2
40.754469,-73.99521,152,1,3189,"Cocktail Bar, Mediterranean Restaurant",2
40.75265381932635,-73.99872422,557,1,6126,"Pizzeria, Italian Restaurant",4
40.746617,-73.996255,1398,5,6335,"Bakery, Café, Sandwich Spot",4
40.747851,-73.990538,1005,3,223,Martial Arts Dojo,2
40.746871,-73.996833,1217,4,1449,"Coffee Shop, Restaurant",4
40.747304,-73.994797,962,2,4829,"Coffee Shop, Fast Food Restaurant",1
40.75125,-73.988575,1207,4,2091,Museum,3
40.746151,-73.997547,661,5,4684,Golf Store,1
40.753115,-73.999394,31,1,4029,"Bagel Shop, American Restaurant",4
40.745455,-73.99337,336,5,3904,"Coffee Shop, Tea Room",5
40.754711,-74.000243,222,4,4203,Jewelry Store,4
40.747166,-73.989944,843,2,2166,Furniture and Home Store,4
40.751154,-73.988135,716,4,4911,"Pizzeria, American Restaurant, Italian Restaurant",3
40.752581,-74.001164,857,1,4592,"Burger Joint, American Restaurant, Fast Food Restaurant",5
40.745153,-73.994538,669,4,6045,"Salad Restaurant, Dining and Drinking, Soup Spot",5
40.747313,-74.000432,990,3,339,"Coffee Shop, Restaurant",5
40.747423,-74.000349,179,4,2635,"Bakery, American Restaurant",1
40.755299,-73.998432,828,4,1209,Middle Eastern Restaurant,2
40.756164,-73.996413,1448,4,990,New American Restaurant,3
40.747423,-74.000349,1393,4,1790,Grocery Store,1
40.754042,-74.001003,188,3,1283,"Mediterranean Restaurant, Mexican Restaurant, Tapas Restaurant",4
40.746311,-73.989648,1232,1,4513,Dining and Drinking,3
40.753484,-73.987746,853,1,4162,Coffee Shop,1
40.745134,-73.995236,603,2,6570,"American Restaurant, Vegan and Vegetarian Restaurant",2
40.755471,-73.990095,276,4,6581,Grocery Store,5
40.744693,-73.993602,1275,1,1636,Tapas Restaurant,2
40.752533,-73.987009,1559,3,1933,"Sports Bar, American Restaurant",5
40.747404,-74.001047,489,5,6713,"Salad Restaurant, Dining and Drinking, Soup Spot",2
40.750749,-73.986438,1126,2,4730,Japanese Restaurant,1
40.746282,-73.98873,1533,3,909,Steakhouse,2
40.750667,-73.986194,1093,4,5662,Mini Golf Course,2
40.750233,-73.986264,255,2,1719,"Cocktail Bar, Whisky Bar, Theme Restaurant",5
40.745125,-73.99755,996,4,6182,Korean Restaurant,2
40.745324,-73.990221,1514,1,5359,"Bakery, Burger Joint, Café",4
40.744236,-73.994545,1504,4,6929,"Cocktail Bar, Speakeasy, Restaurant",2
40.744211,-73.993452,1039,4,891,"Arcade, Bar, Burger Joint",4
40.74563,-73.988879,913,2,3684,Buddhist Temple,5
40.74439,-73.996822,1359,4,407,Cocktail Bar,1
40.745324,-73.990221,1097,2,236,"Café, French Restaurant",1
40.753851,-74.002088,390,4,3804,"Coffee Shop, Café",5
40.754388,-74.002196,1530,3,5625,"Public Art, Monument",3
40.678941,-73.968077,1108,5,2737,Pedestrian Plaza,1
40.679917,-73.967853,1354,4,3763,"Coffee Shop, Dessert Shop, Restaurant",3
40.680016,-73.968206,1237,4,5824,"Cocktail Bar, Restaurant",4
40.678615,-73.968152,1433,4,3810,"Beer Bar, Restaurant",4
40.680121,-73.968297,1485,4,6436,"Coffee Shop, Ice Cream Parlor, Restaurant",4
40.680664,-73.968144,103,4,280,Mexican Restaurant,1
40.678487,-73.968932,1432,1,1581,"Bakery, Café, Restaurant",5
40.680609,-73.968186,768,5,4279,"Bakery, Cupcake Shop, Fast Food Restaurant",2
40.680664,-73.968144,753,2,4221,"Beer Bar, Restaurant",3
40.680123,-73.96821,214,4,5787,Ice Cream Parlor,1
40.67998,-73.969513,956,5,2068,Ramen Restaurant,3
40.678274,-73.968836,356,1,630,Taco Restaurant,2
40.678015,-73.968434,152,4,2485,"Bar, Italian Restaurant, New American Restaurant",4
40.679827,-73.96519,788,1,2080,Thai Restaurant,2
40.677144,-73.968749,628,4,678,Dining and Drinking,2
40.679152,-73.964248,1392,2,6956,New American Restaurant,4
40.67664,-73.965459,857,5,2283,Garden Center,3
40.677436,-73.96392,137,3,3782,Playground,5
40.677433,-73.964007,714,3,3110,"Cocktail Bar, Lounge, Restaurant",1
40.683571,-73.966294,830,2,6233,"Coffee Shop, American Restaurant, Sandwich Spot",1
40.683049,-73.965663,989,1,4096,"Burger Joint, Pizzeria, New American Restaurant",4
40.676966,-73.963334,198,2,6401,"Beer Bar, Beer Garden, Sandwich Spot",2
40.675147,-73.96684,1386,5,3225,Caribbean Restaurant,3
40.677052,-73.972147,1330,1,682,Beer Bar,5
40.676085,-73.972022,1061,1,6682,"Bar, Restaurant",4
40.679968,-73.973961,771,2,3344,Grocery Store,3
40.683708,-73.967215,1123,2,267,Persian Restaurant,1
40.682953,-73.965223,1299,3,5046,"Cocktail Bar, Restaurant",2
40.683573,-73.966207,1463,2,5087,"Music Venue, Gastropub, American Restaurant",3
40.67883,-73.962185,828,2,5260,Tiki Bar,5
40.67627,-73.963177,1301,4,4280,"American Restaurant, Caribbean Restaurant, South American Restaurant",3
40.680921,-73.974609,806,4,5100,"Cocktail Bar, Restaurant",3
40.680976,-73.974567,1346,3,6905,Tiki Bar,4
40.680921,-73.974818,217,4,2363,Café,3
40.683881,-73.968792,912,4,549,"Sandwich Spot, Bagel Shop, Deli",3
40.675358,-73.963011,18,2,2016,Coffee Shop,1
40.673816,-73.970233,1142,3,4011,"Cocktail Bar, Restaurant",1
40.68073,-73.975692,1203,2,3894,Fountain,1
40.67607,-73.974594,1366,4,6293,Cocktail Bar,4
40.675809,-73.974279,310,2,3213,"Ramen Restaurant, Noodle Restaurant",5
40.682628,-73.961286,899,3,5224,"Bagel Shop, Restaurant",3
40.673658,-73.970096,1292,1,5094,"Pub, Restaurant",5
40.67362,-73.967478,514,2,4091,Plaza,2
40.680888,-73.975829,358,5,752,"Caribbean Restaurant, New American Restaurant, Southern Food Restaurant",1
40.680934,-73.976136,1367,4,3275,Bicycle Store,5
40.674487,-73.963326,314,5,4855,"Beer Store, Liquor Store",2
40.673487,-73.968433,1550,1,5310,"Diner, American Restaurant",4
40.675958,-73.974765,408,5,1812,Parking,3
40.682681,-73.975332,366,4,1558,Music School,3
40.684955,-73.962946,425,4,5736,Stadium,5
40.684002,-73.954273,464,3,613,Italian Restaurant,5
40.686628,-73.954854,1139,4,3627,African Restaurant,2
40.686791,-73.954817,1322,1,1658,"Pub, Cocktail Bar",5
40.688076,-73.955128,1141,1,6136,Dive Bar,5
40.687226,-73.950646,1082,3,2962,"Cuban Restaurant, Latin American Restaurant",5
40.687656,-73.956725,1575,3,218,African Restaurant,4
40.687213,-73.957145,818,5,4960,"Café, Mexican Restaurant",3
40.68883,-73.955157,161,5,1250,"Beer Bar, Cocktail Bar, Restaurant",5
40.681425,-73.955875,199,2,625,"Café, Coffee Shop, Salad Restaurant",3
40.6883,-73.956838,527,2,6970,New American Restaurant,5
40.688617,-73.951048,856,3,5697,"Bar, Taco Restaurant",2
40.6883,-73.956838,116,5,2924,"Bar, American Restaurant",4
40.689323,-73.95487,662,1,6863,"Music Venue, Cocktail Bar, Lounge",2
40.6824,-73.949675,1470,5,1044,"Bar, Filipino Restaurant, Tex-Mex Restaurant",2
40.68133,-73.957397,1523,5,6880,Bar,4
40.682074,-73.94975,359,4,1502,"Cocktail Bar, Beer Garden",3
40.682004,-73.958427,11,4,4617,"Organic Grocery, Herbs and Spices Store",1
40.687514,-73.959991,1527,5,5243,"Cocktail Bar, Wine Bar, American Restaurant",3
40.689799,-73.951181,208,3,6783,Pizzeria,1
40.687581,-73.959514,57,5,102,Korean Restaurant,3
40.68403,-73.947165,1287,5,4213,"Bakery, Vegan and Vegetarian Restaurant",3
40.688655,-73.947604,1171,1,2459,"Café, Diner",5
40.682628,-73.961286,810,2,6841,"Café, Coffee Shop, Sandwich Spot",2
40.6815,-73.947024,411,2,416,"Pub, Restaurant",5
40.687556,-73.962436,381,4,3615,"Bed and Breakfast, Hotel",2
40.686972,-73.962108,984,3,1986,"Beer Bar, Deli, American Restaurant",4
40.684955,-73.962946,78,1,4180,"Cocktail Bar, Restaurant",3
40.686951,-73.962892,1234,5,5988,Italian Restaurant,2
40.684801,-73.944534,647,2,5059,Wine Bar,5
40.684801,-73.944534,1271,5,3949,Wine Store,5
40.678485,-73.954933,770,1,212,Beer Garden,5
40.689817,-73.946471,127,1,3307,"Bar, Brewery",4
40.691628,-73.951339,1471,5,5288,"Picnic Area, Playground",3
40.687272,-73.94489,898,3,5871,Library,3
40.687985,-73.96254,835,4,4986,Italian Restaurant,3
40.686534,-73.944251,589,4,1487,"Cocktail Bar, American Restaurant, Seafood Restaurant",2
40.682904,-73.963041,750,1,2679,"Pizzeria, Italian Restaurant",2
40.686954,-73.962805,433,1,388,"Liquor Store, Wine Store",3
40.688028,-73.962934,1184,3,989,"Cocktail Bar, Café, Vegan and Vegetarian Restaurant",1
40.684492,-73.943999,404,3,3395,Vegan and Vegetarian Restaurant,3
40.683743,-73.943795,193,1,1890,Japanese Restaurant,3
40.686051,-73.944189,1083,1,4635,Gift Store,1
40.680378,-73.946676,1372,4,4721,"Fashion Accessories Store, Jewelry Store, Women's Store",2
40.683367,-73.943737,834,5,5861,"Café, Coffee Shop, African Restaurant",3
40.682574,-73.96329,830,5,1388,"American Restaurant, South American Restaurant, Southern Food Restaurant",1
40.689765,-73.946425,175,2,4658,"Bakery, Ice Cream Parlor, Restaurant",1
40.677383,-73.95585,312,5,4278,Community Center,5
40.683046,-73.943638,433,2,4,Grocery Store,4
40.690499,-73.960122,174,5,3028,Cocktail Bar,4
40.688253,-73.962593,1063,3,4060,Pizzeria,2
40.756325,-73.92395,1472,1,161,"Pizzeria, Italian Restaurant",5
40.758371,-73.924114,672,2,3725,Museum,4
40.753018,-73.922514,628,3,3967,"Cocktail Bar, New American Restaurant, Seafood Restaurant",3
40.752184,-73.921434,1273,3,2226,"Colombian Restaurant, Tapas Restaurant",1
40.759071,-73.926238,905,4,1720,Grocery Store,3
40.755184,-73.918141,28,1,2014,"Bubble Tea Shop, Sandwich Spot",2
40.760326,-73.921611,1259,3,4066,Brazilian Restaurant,2
40.76048,-73.921923,171,1,3862,Thai Restaurant,5
40.760461,-73.922621,580,1,7000,"Sandwich Spot, Bagel Shop, Bakery",2
40.754062,-73.929935,957,1,2821,"Bar, Deli, Sandwich Spot",5
40.758368,-73.91813,977,3,5856,"Mediterranean Restaurant, Seafood Restaurant, Meat and Seafood Store",2
40.76075,-73.923942,435,4,4960,Pizzeria,5
40.757882,-73.916102,1530,3,2072,Gift Store,2
40.762882,-73.920878,1006,2,3503,Food and Beverage Service,1
40.762886,-73.920703,379,3,4597,"Deli, Italian Restaurant, Sandwich Spot",3
40.763139,-73.921368,118,2,1924,"Pizzeria, Italian Restaurant",2
40.760809,-73.915601,1591,4,950,Thai Restaurant,2
40.755557,-73.912214,585,3,973,"Wine Bar, BBQ Joint, New American Restaurant",3
40.755557,-73.912214,1476,2,6177,"Butcher, Fruit and Vegetable Store, Grocery Store",5
40.73669,-74.006213,519,3,5035,Mexican Restaurant,3
40.735792,-74.007487,195,3,6350,Dining and Drinking,2
40.735737,-74.007529,1278,4,4736,"Cocktail Bar, Chinese Restaurant, Mediterranean Restaurant",2
40.736855,-74.008053,515,2,1406,"Café, Coffee Shop, Sandwich Spot",4
40.737396,-74.007987,1440,1,1439,"Pizzeria, Italian Restaurant",4
40.735164,-74.006764,807,5,6555,"Cocktail Bar, Wine Bar, Mediterranean Restaurant",1
40.735399,-74.008039,391,4,3815,"New American Restaurant, Bistro",5
40.735164,-74.006764,452,4,6009,"Austrian Restaurant, German Restaurant, Modern European Restaurant",3
40.734966,-74.008109,1162,1,2377,"Cocktail Bar, Wine Bar, Italian Restaurant",1
40.734122,-74.007377,339,4,3084,"Wine Bar, Lounge",5
40.739288,-74.005879,1251,2,3885,"Café, Coffee Shop, Restaurant",3
40.733806,-74.005138,200,3,5904,"Salad Restaurant, Vegan and Vegetarian Restaurant",5
40.739255,-74.0071,1479,4,3477,Italian Restaurant,1
40.73887,-74.009356,160,5,390,French Restaurant,1
40.735996,-74.00195,590,2,5401,Italian Restaurant,1
40.739918,-74.006515,138,2,1508,"Mediterranean Restaurant, Middle Eastern Restaurant",3
40.736384,-74.001572,1532,2,2735,New American Restaurant,3
40.734437,-74.009704,1437,1,3614,Wine Bar,2
40.733279,-74.006645,792,5,1874,Park,4
40.73465,-74.001853,1345,5,782,Coffee Shop,5
40.739844,-74.007255,686,2,5281,"Tea Room, Restaurant",1
40.740378,-74.005485,1134,5,2260,"Night Club, American Restaurant, Steakhouse",3
40.732947,-74.007659,757,2,3825,"Cocktail Bar, Coffee Shop, Fast Food Restaurant",1
40.7342,-74.010481,410,3,4285,French Restaurant,3
40.739667,-74.007815,1222,2,2744,Park,3
40.733199,-74.003629,839,4,1988,Dining and Drinking,5
40.732641,-74.004306,1220,3,226,Italian Restaurant,3
40.739583,-74.008904,253,4,4145,French Restaurant,1
40.740634,-74.005976,850,2,5588,Café,5
40.740526,-74.005972,578,5,3245,Roof Deck,4
40.732933,-74.003488,37,5,923,Bar,4
40.739789,-74.007296,1344,1,6554,"Cocktail Bar, Café, Restaurant",1
40.733047,-74.007247,1289,1,2097,Steakhouse,4
40.740692,-74.006904,505,1,3077,Korean Restaurant,1
