station_index,poi_name,latitude,longitude,address,distance,category,popularity
1,Mastro`S Restaurants,40.761179,-73.980577,1285 Avenue of the Americas,632,Restaurant,
1,Le Bernardin,40.761632,-73.981774,W 51ST St,637,"French Restaurant, Seafood Restaurant",
1,Rise Bar,40.767224,-73.986537,859 9th Ave,613,Gay Bar,
1,Central Park Zoo,40.767688,-73.971306,830 5th Ave,617,Zoo,
1,Tavern on the Green,40.772193439565,-73.97761523723602,W 67th St,618,American Restaurant,
1,Grand Salon,40.760834,-73.977331,28 W 53rd St,658,"Lounge, Tea Room, French Restaurant",
1,Literary Walk,40.77025,-73.972367,,651,Landmarks and Outdoors,
1,Dos Toros Taqueria,40.760639,-73.97859,52 W 52nd St,668,Burrito Restaurant,
1,Sheep Meadow,40.771905,-73.975053,1802 W 65th St Transverse,687,Picnic Area,
1,Avra Madison,40.764334,-73.971612,14 E 60th St,673,"Greek Restaurant, Mediterranean Restaurant",
1,Ellen's Stardust Diner,40.761858,-73.9834,1650 Broadway,639,"Diner, New American Restaurant",
2,Melba's,40.803114,-73.956637,300 W 114th St,152,"New American Restaurant, South American Restaurant, Southern Food Restaurant",
2,Frederick Douglass Circle Gate,40.800483,-73.958109,"8th Ave , New York, NY, United States",169,Landmarks and Outdoors,
2,Morningside Park Farmers Market,40.801304,-73.959715,250 W 110th St,209,Farmers Market,
2,Park West Cafe & Deli,40.799317,-73.959332,477 Central Park W,313,"Tea Room, Deli, Mediterranean Restaurant",
2,The Winery,40.804513,-73.954811,257 W 116th St,338,"Beer Store, Liquor Store, Wine Store",
2,Bo's Bagels,40.8041,-73.954095,235 W 116th St,350,"Bagel Shop, American Restaurant, Deli",
2,Silvana,40.804379,-73.955767,300 W 116th St,343,"Coffee Shop, Middle Eastern Restaurant",
2,"Levain Bakery – Harlem, NYC",40.805043,-73.955181,2167 Frederick Douglass Blvd,395,"Bakery, Restaurant",
2,North Woods,40.797912,-73.955343,,440,Park,
2,Central Park,40.803868,-73.954698,110TH St,521,Park,
2,Peace Fountain,40.804038,-73.962444,1047 Amsterdam Ave,536,Fountain,
2,Morningside Park - 116th St Playground,40.80615,-73.958197,Morningside Ave,506,Playground,
2,The Great Hill,40.797116,-73.958854,Central Park W,521,Landmarks and Outdoors,
2,Monkey Cup,40.804611,-73.951141,1965 Adam Clayton Powell Jr Blvd,580,"Coffee Shop, Restaurant",
2,Vinatería,40.806638,-73.954062,2211 Frederick Douglass Blvd,582,"American Restaurant, Italian Restaurant, Spanish Restaurant",
2,The Hungarian Pastry Shop,40.803519,-73.963692,1030 Amsterdam Ave,571,"Bakery, Eastern European Restaurant, Hungarian Restaurant",
2,Amy Ruth's,40.802477,-73.950185,113 W 116th St,570,"American Restaurant, South American Restaurant, Southern Food Restaurant",
2,Bob's Your Uncle,40.798842,-73.962943,929 Columbus Ave,585,Dive Bar,
2,La Diagonal,40.806175,-73.953213,185 Saint Nicholas Ave,599,"Cocktail Bar, Mexican Restaurant",
2,Arts and Crafts Beer Parlor,40.806561,-73.960968,1135 Amsterdam Ave,646,"Beer Bar, Pub, Wine Bar",
2,Super Nice Coffee and Bakery,40.801389,-73.964616,196 W 108th St,623,"Bakery, Coffee Shop",
2,The Ravine,40.795573,-73.955996,,691,Scenic Lookout,
2,Bánh,40.800819,-73.96573,942 Amsterdam Ave,725,"Cafe, Coffee, and Tea House, Sandwich Spot, Vietnamese Restaurant",
2,Makana Hawaiian BBQ & Poke,40.800399,-73.965277,161 W 106th St,710,"BBQ Joint, Hawaiian Restaurant",
2,Book Culture,40.804941,-73.965016,536 W 112th St,760,Bookstore,
2,Symposium Greek Restaurant,40.805502,-73.96425,544 W 113th St,738,Greek Restaurant,
2,Sugar Hill Creamery,40.803995,-73.947925,184 Malcolm X Blvd,805,"Coffee Shop, Ice Cream Parlor, Restaurant",
2,Alma Mater,40.807991,-73.962029,W 116th St,796,Public Art,
2,Absolute Bagels,40.80245,-73.967324,2788 Broadway,871,"Bagel Shop, Restaurant, Bakery",
2,Book Culture,40.806718,-73.965216,2915 Broadway,854,Bookstore,
2,Hex & Company,40.805395,-73.966214,2871 Broadway,859,"Beer Bar, Coffee Shop, Restaurant",
2,Barawine,40.804548,-73.947422,200 Malcolm X Blvd,848,"Wine Bar, French Restaurant, New American Restaurant",
2,Milano Market,40.805694,-73.965132,2892 Broadway,835,"Deli, Sandwich Spot",
2,Mama's Too,40.800822,-73.967611,2750 Broadway,887,"Pizzeria, Italian Restaurant",
2,H Mart,40.803823,-73.966459,2828 Broadway,842,Grocery Store,
2,Sottocasa Pizzeria,40.805571,-73.947505,227 Malcolm X Blvd,922,"Italian Restaurant, Pizzeria",
2,Clay,40.809505,-73.953866,553 Manhattan Ave,909,"Bar, New American Restaurant",
2,Smoke Jazz & Supper Club,40.801129,-73.968235,2751 Broadway,904,"Music Venue, Dining and Drinking, Jazz and Blues Venue",
2,Mel's Burger Bar,40.804426,-73.966089,2850 Broadway,834,"Burger Joint, Fast Food Restaurant, New American Restaurant",
2,Fumo,40.802917,-73.967998,2791 Broadway,917,"Bar, Pizzeria, Italian Restaurant",
2,Westside Market NYC,40.804316,-73.966172,2840 Broadway,844,Grocery Store,
2,Sugar Monk,40.808859,-73.951786,2292 Frederick Douglass Blvd,922,"Night Club, Cocktail Bar, Restaurant",
2,Center Fountain,40.793761,-73.953085,5TH Ave,939,Landmarks and Outdoors,
2,Central Park - Glenspan Arch,40.79466934949267,-73.95923271775246,"Central Park, North End, near the Ravine",800,"Bridge, Scenic Lookout, Sporting Goods Retail",
2,Teranga,40.796296,-73.949116,1280 5th Ave,894,African Restaurant,
2,L.a. SweetsNY,40.80427,-73.947717,192 Malcolm X Blvd,842,"Bakery, Cupcake Shop, Restaurant",
2,Conservatory Garden,40.793833,-73.952432,5TH Ave,957,Park,
2,Silver Moon Bakery,40.800496,-73.967685,2740 Broadway,922,"Bakery, Restaurant",
2,Morningside Playground,40.809991,-73.955896,West 110th to West 123rd Streets,937,Playground,
2,T-Mobile,40.800667,-73.947186,1400 5th Ave,845,Mobile Phone Store,
3,Ricardo Steak House,40.793553,-73.940661,2145 2nd Ave,249,Steakhouse,
3,Cascalote Latin Bistro,40.792688,-73.940715,2126 2nd Ave,309,"Latin American Restaurant, Mexican Restaurant",
3,Taco Mix,40.797221,-73.938746,234 E 116th St,323,"Fast Food Restaurant, Latin American Restaurant, Taco Restaurant",
3,La Chula,40.798925,-73.941653,137 E 116th St,362,Mexican Restaurant,
3,Super Nice Coffee and Bakery,40.798996,-73.941,156 E 117th St,403,"Bakery, Coffee Shop",
3,East Harlem Bottling Co,40.792993,-73.945448,1711 Lexington Ave,443,"Beer Bar, American Restaurant",
3,Blue Line Deli,40.792098,-73.938507,2135 1st Ave,471,Deli,
3,Makana Hawaiian & Japanese BBQ,40.795622,-73.935931,2245 1st Ave,494,"BBQ Joint, Hawaiian Restaurant, Japanese Restaurant",
3,Perch,40.792279,-73.945902,1693 Lexington Ave,498,"Cocktail Bar, Tapas Restaurant",
3,Ollin,40.79116,-73.939302,339 E 108th St,521,"Latin American Restaurant, Burrito Restaurant, Tex-Mex Restaurant",
3,Patsy's Pizza,40.797107,-73.934895,2287 1st Ave,613,Pizzeria,
3,Thomas Jefferson Park,40.793765,-73.936735,2180 1st Ave,586,"Picnic Area, Playground",
3,Sapoara Woodroasting G,40.796134,-73.934945,2262 1st Ave,545,"Beer Bar, American Restaurant",
3,Rao's,40.793993,-73.934251,455 E 114th St,645,Italian Restaurant,
3,Love Cafe,40.794599,-73.933794,283 Pleasant Ave,665,"Café, Coffee Shop, Sandwich Spot",
3,Teranga,40.796296,-73.949116,1280 5th Ave,652,African Restaurant,
3,Evelyn's Kitchen,40.797768,-73.934395,2317 1st Ave,667,"Bakery, Dessert Shop, American Restaurant",
3,Malinee Thai,40.789495,-73.943041,2028 2nd Ave,678,Thai Restaurant,
3,Alison,40.790957,-73.9469,1651 Lexington Ave,679,"Beer Bar, New American Restaurant",
3,City Fresh Market,40.801072,-73.938063,2212 3rd Ave,677,Grocery Store,
3,Ranch Market,40.794679,-73.949054,1600 Madison Ave,635,"Burger Joint, American Restaurant",
3,Mama's Restaurant,40.799886,-73.935963,2347 2nd Ave,681,Caribbean Restaurant,
3,Museum for African Art,40.796296,-73.949116,1280 5th Ave,593,Art Museum,
3,Maxwell's Central Park,40.797669,-73.948251,1325 5th Ave,639,"Bar, Gastropub, New American Restaurant",
3,Wimpy's Restaurant,40.799243,-73.935763,2334 2nd Ave,643,"Burger Joint, American Restaurant, Fast Food Restaurant",
3,Santiago's Beer Garden,40.798537,-73.9339,2337 1st Ave,731,"Beer Garden, Comfort Food Restaurant, Latin American Restaurant",
3,FDR Bike/Run/Walk Path,40.79294,-73.93325,,750,Hiking Trail,
3,East River Wines & Spi,40.795111,-73.932808,302 Pleasant Ave,740,"Beer Store, Liquor Store, Wine Store",
3,Bawarchi Indian Cuisine,40.792805,-73.950469,1546 Madison Ave,797,Indian Restaurant,
3,Vanderbilt Gate,40.793425,-73.951542,5TH Ave,879,Landmarks and Outdoors,
3,Conservatory Garden,40.793833,-73.952432,5TH Ave,926,Park,
3,Frenchy Coffee,40.789841,-73.948256,129 E 102nd St,844,"Café, Coffee Shop, Restaurant",
3,Central Park - Untermeyer Fountain,40.793611,-73.950631,5TH Ave,881,"Fountain, Plaza, Sporting Goods Retail",
3,Taqueria El Barrio,40.798209,-73.934062,2327 1st Ave,714,"Mexican Restaurant, Salad Restaurant",
3,Lexington Pizza Parlour,40.789235,-73.948714,1590 Lexington Ave,920,"Italian Restaurant, Pizzeria",
3,Museum of the City of New York,40.792534,-73.95207,1220 5th Ave,939,History Museum,
3,Center Fountain,40.793761,-73.953085,5TH Ave,959,Landmarks and Outdoors,
3,El Museo del Barrio,40.793158,-73.9514,1230 5th Ave,882,Art Museum,
3,Absolute Thai,40.789238,-73.948695,1590 Lexington Ave,906,Thai Restaurant,
3,Sea & Sea Fish Market,40.801423,-73.949182,62 W 116th St,930,Fish Market,
3,Burnett Fountain,40.793229,-73.952802,5TH Ave,972,Fountain,
3,Central Park - Farmers' Gate,40.798149,-73.95251,Central Park N,960,Plaza,
3,Mojo,40.788425,-73.948726,177 E 100th St,992,"Dessert Shop, Restaurant",
3,Duke Ellington Circle,40.796882,-73.949445,1295 5th Ave,668,Plaza,
3,Fine Fare,40.79817,-73.933493,2330 1st Ave,734,Grocery Store,
3,Costco,40.795323,-73.930936,517 E 117th St,937,"Drugstore, Grocery Store",
3,Harlem Heritage Tours,40.801465,-73.949665,104 Malcolm X Blvd,955,Tour Provider,
3,Cherry Valley Marketplace,40.787461,-73.944406,1968 2nd Ave,917,Grocery Store,
3,White Castle,40.788072,-73.941719,351 E 103rd St,851,Fast Food Restaurant,
3,Harlem Repertory Theatre,40.801525,-73.935238,240 E 123rd St,886,"Music Venue, Theater",
4,NY Pizza Suprema,40.750154,-73.995267,413 8th Ave,68,Pizzeria,
4,Madison Square Garden,40.750561,-73.993231,Two Pennsylvania Plaza,97,"Music Venue, Stadium",
4,Lexus Madison Suites,40.750526,-73.993395,4 Penn Plz,132,Arts and Entertainment,
4,Haymaker Bar and Kitchen,40.748639,-73.99533,252 W 29th St,186,"Beer Bar, Gastropub, New American Restaurant",
4,B&H Photo Video Pro Audio,40.752929,-73.996285,420 9th Ave,334,Camera Store,
4,Best Bagel & Coffee,40.752262,-73.991061,225 W 35th St,351,"Bagel Shop, Fast Food Restaurant, Coffee Shop",
4,Bluestone Lane Manhattan West Café,40.752209,-73.998965,435 W 31st St,387,"Café, Coffee Shop, Restaurant",
4,Black Fox Coffee,40.753095,-73.998127,438 W 33rd St,392,Coffee Shop,
4,Zou Zou's,40.752873,-73.99838,385 9th Ave,414,"Cocktail Bar, Mediterranean Restaurant",
4,Vitos Slices And Ices,40.754469,-73.99521,464 9th Ave,443,"Pizzeria, Italian Restaurant",
4,Daily Provisions,40.75265381932635,-73.99872422218323,"440 W 33rd St, Suite 90",410,"Bakery, Café, Sandwich Spot",
4,Marcelo Garcia Jiu Jitsu,40.746617,-73.996255,250 W 26th St,466,Martial Arts Dojo,
4,King's Street Coffee,40.747851,-73.990538,121 W 30th St,464,"Coffee Shop, Restaurant",
4,Bean & Bean,40.746871,-73.996833,318 8th Ave,428,"Coffee Shop, Fast Food Restaurant",
4,Fashion Institute Of Technology - Museum At Fit,40.747304,-73.994797,227 W 27th St,459,Museum,
4,New York Golf Center,40.75125,-73.988575,131 W 35th St,507,Golf Store,
4,Brooklyn Bagel & Coffee Company,40.746151,-73.997547,286 8th Ave,557,"Bagel Shop, American Restaurant",
4,Matchaful,40.753115,-73.999394,450 W 33rd St,533,"Coffee Shop, Tea Room",
4,Rock Star Crystals,40.745455,-73.99337,150 W 28th St,559,Jewelry Store,
4,Muji,40.754711,-74.000243,20 Hudson St,572,Furniture and Home Store,
4,L'Amico,40.747166,-73.989944,849 Avenue of the Americas,564,"Pizzeria, American Restaurant, Italian Restaurant",
4,Shake Shack,40.751154,-73.988135,1333 Broadway,598,"Burger Joint, American Restaurant, Fast Food Restaurant",
4,Sweetgreen,40.752581,-74.001164,10 Hudson St,589,"Salad Restaurant, Dining and Drinking, Soup Spot",
4,Variety Coffee Roasters,40.745153,-73.994538,261 7th Ave,595,"Coffee Shop, Restaurant",
4,Sullivan Street Bakery,40.747313,-74.000432,236 9th Ave,614,"Bakery, American Restaurant",
4,Shukette,40.747423,-74.000349,230 9th Ave,626,Middle Eastern Restaurant,
4,Friedman's,40.755299,-73.998432,450 10th Ave,612,New American Restaurant,
4,Brooklyn Fare,40.756164,-73.996413,431 W 37th St,637,Grocery Store,
4,Txikito,40.747423,-74.000349,240 9th Ave,608,"Mediterranean Restaurant, Mexican Restaurant, Tapas Restaurant",
4,Peak NYC,40.754042,-74.001003,30 Hudson St,647,Dining and Drinking,
4,Paper Coffee,40.746311,-73.989648,44 W 29th St,640,Coffee Shop,
4,Dig,40.753484,-73.987746,1407 Broadway,661,"American Restaurant, Vegan and Vegetarian Restaurant",
4,Whole Foods,40.745134,-73.995236,250 7th Ave,618,Grocery Store,
4,Boqueria Spanish Tapas - West 40th Street,40.755471,-73.990095,260 W 40th St,665,Tapas Restaurant,
4,Smithfield Hall,40.744693,-73.993602,138 W 25th St,642,"Sports Bar, American Restaurant",
4,Sweetgreen,40.752533,-73.987009,1384 Broadway,669,"Salad Restaurant, Dining and Drinking, Soup Spot",
4,Maison Kintaro,40.747404,-74.001047,401 W 24th St,645,Japanese Restaurant,
4,Keens Steakhouse,40.750749,-73.986438,72 W 36th St,692,Steakhouse,
4,Swingers Crazy Golf,40.746282,-73.98873,35 W 29th St,693,Mini Golf Course,
4,The Parlour Room,40.750667,-73.986194,70 W 36th St,706,"Cocktail Bar, Whisky Bar, Theme Restaurant",
4,Cho Dang Gol,40.750233,-73.986264,55 W 35th St,695,Korean Restaurant,
4,Big Booty Bread Co.,40.745125,-73.99755,261 W 23rd St,669,"Bakery, Burger Joint, Café",
4,Patent Pending,40.745324,-73.990221,49 W 27th St,706,"Cocktail Bar, Speakeasy, Restaurant",
4,Barcade,40.744236,-73.994545,148 W 24th St,685,"Arcade, Bar, Burger Joint",
4,Kadampa Meditation Center New York City,40.744211,-73.993452,127 W 24th St,718,Buddhist Temple,
4,Nubeluz,40.74563,-73.988879,25 W 28th St,733,Cocktail Bar,
4,Café Chelsea,40.74439,-73.996822,222 W 23rd St,704,"Café, French Restaurant",
4,Patent Coffee,40.745324,-73.990221,49 W 27th St,700,"Coffee Shop, Café",
4,Vessel,40.753851,-74.002088,Hudson Yards,729,"Public Art, Monument",
4,Hudson Yards Public Square and Gardens,40.754388,-74.002196,"Hudson Yards, New York, NY 10001, United States",740,Pedestrian Plaza,
5,Gran Caffe De Martini,40.678941,-73.968077,609 Vanderbilt Ave,43,"Coffee Shop, Dessert Shop, Restaurant",
5,Weather Up,40.679917,-73.967853,589 Vanderbilt Ave,59,"Cocktail Bar, Restaurant",
5,Bierwax,40.680016,-73.968206,556 Vanderbilt Ave,64,"Beer Bar, Restaurant",
5,Ample Hills Creamery,40.678615,-73.968152,623 Vanderbilt Ave,104,"Coffee Shop, Ice Cream Parlor, Restaurant",
5,Alta Calidad,40.680121,-73.968297,552 Vanderbilt Ave,90,Mexican Restaurant,
5,"Ciao, Gloria",40.680664,-73.968144,550 Vanderbilt Ave,119,"Bakery, Café, Restaurant",
5,Little Cupcake Bakeshop,40.678487,-73.968932,598 Vanderbilt Ave,120,"Bakery, Cupcake Shop, Fast Food Restaurant",
5,Beer Street South,40.680609,-73.968186,550 Vanderbilt Ave,144,"Beer Bar, Restaurant",
5,Van Leeuwen Ice Cream,40.680664,-73.968144,550 Vanderbilt Ave,144,Ice Cream Parlor,
5,Chuko,40.680123,-73.96821,552 Vanderbilt Ave,148,Ramen Restaurant,
5,King David Tacos,40.67998,-73.969513,611 Bergen St,130,Taco Restaurant,
5,Faun,40.678274,-73.968836,606 Vanderbilt Ave,143,"Bar, Italian Restaurant, New American Restaurant",
5,Nourish,40.678015,-73.968434,637A Vanderbilt Ave,170,Thai Restaurant,
5,Leland Eating & Drinking House,40.679827,-73.96519,755 Dean St,243,Dining and Drinking,
5,Olmsted,40.677144,-73.968749,659 Vanderbilt Ave,262,New American Restaurant,
5,Natty Garden,40.679152,-73.964248,636 Washington Ave,330,Garden Center,
5,Underhill Playground,40.67664,-73.965459,Underhill Ave,356,Playground,
5,Bearded Lady,40.677436,-73.96392,686A Washington Ave,413,"Cocktail Bar, Lounge, Restaurant",
5,Sit & Wonder,40.677433,-73.964007,688 Washington Ave,421,"Coffee Shop, American Restaurant, Sandwich Spot",
5,Emily,40.683571,-73.966294,919 Fulton St,459,"Burger Joint, Pizzeria, New American Restaurant",
5,Hops Hill,40.683049,-73.965663,886 Fulton St,463,"Beer Bar, Beer Garden, Sandwich Spot",
5,The Islands,40.676966,-73.963334,671 Washington Ave,462,Caribbean Restaurant,
5,Gold Star Beer Counter,40.675147,-73.96684,176 Underhill Ave,479,Beer Bar,
5,Sharlene's,40.677052,-73.972147,353 Flatbush Ave,449,"Bar, Restaurant",
5,Union Market,40.676085,-73.972022,342 Flatbush Ave,486,Grocery Store,
5,Sofreh,40.679968,-73.973961,75 Saint Marks Ave,501,Persian Restaurant,
5,Baby Jane,40.683708,-73.967215,899 Fulton St,463,"Cocktail Bar, Restaurant",
5,Sisters,40.682953,-73.965223,900 Fulton St,475,"Music Venue, Gastropub, American Restaurant",
5,Famous Last Words,40.683573,-73.966207,925 Fulton St,479,Tiki Bar,
5,Puerto Viejo,40.67883,-73.962185,564 Grand Ave,515,"American Restaurant, Caribbean Restaurant, South American Restaurant",
5,Bar Meridian,40.67627,-73.963177,406 Prospect Pl,545,"Cocktail Bar, Restaurant",
5,Shaka Shaka Tiki,40.680921,-73.974609,64 6th Ave,567,Tiki Bar,
5,Companion,40.680976,-73.974567,64 6th Ave,565,Café,
5,Bergen Bagels,40.680921,-73.974818,473 Bergen St,592,"Sandwich Spot, Bagel Shop, Deli",
